date,selected_stocks,portfolio_return,avg_prediction
2024-08-30,"ALL, JKHY, NSC, INTC, IBKR, SMCI, ULTA, NVDA, CVNA, MRNA",-0.06379675963164802,0.558108
2024-09-06,"CCI, CPB, KVUE, GIS, AMT, DLTR, DELL, VRT, COHR, COIN",0.0644747588626891,0.565997
2024-09-13,"ANET, AES, VST, WBD, VRT, EL, DVN, LUV, TSN, SYY",0.04392777816622392,0.53365993
2024-09-20,"FIX, VRT, COHR, APP, EME, VTR, PM, PEP, AJG, REG",0.01196917137609692,0.57730806
2024-09-27,"INTC, COIN, ALB, UAL, OTIS, SMCI, NOW, TPL, CRWD, INTU",0.006195476129450249,0.5650352
2024-10-04,"WYNN, PLTR, DVN, APP, COP, SATS, COIN, WBD, NKE, FSLR",0.009443896726269649,0.5572913
2024-10-11,"COHR, SNPS, APD, FAST, GNRC, COP, AES, ALGN, NRG, WBD",-0.01392411283951647,0.53696096
2024-10-18,"COR, PHM, SOLV, ISRG, MTB, UBER, APA, CVS, BG, ERIE",-0.03264981459385619,0.53779346
2024-10-25,"LH, RJF, AON, CVNA, RMD, TER, FIX, CARR, VLTO, HAS",0.001030863271199789,0.5341796
2024-11-01,"DAL, WBD, ABBV, MO, WAT, REGN, HOOD, DVA, MGM, BF-B",0.0393549248981417,0.5394498
2024-11-08,"VRT, FIX, HOOD, VST, EMR, APA, CEG, IFF, CBOE, DOW",-0.014779061455510858,0.521322
2024-11-15,"HOOD, COIN, PLTR, ROK, DVA, MRNA, SMCI, CRL, COHR, TECH",0.1266887288778348,0.5604143
2024-11-22,"APP, HOOD, CTVA, CSGP, KEYS, REGN, HCA, TAP, ULTA, INTU",0.02704655683758157,0.54906213
2024-11-29,"TECH, HRL, LVS, TPR, DXCM, ADSK, MU, CRWD, GEV, HPE",0.03187260937043653,0.55414015
2024-12-06,"SMCI, ULTA, WSM, DDOG, XYZ, CVS, DVN, HAL, TPL, BALL",-0.052052635304435727,0.568534
2024-12-13,"HSY, MOS, KR, CHRW, CNC, APP, NUE, STLD, CI, VST",-0.03585062221301783,0.5557134
2024-12-20,"FOX, PFE, DXCM, CCL, FOXA, CVS, WBD, CTAS, LEN, ALB",-0.00876134189579313,0.5553993
